smORF_109	bear gut,pig gut,river associated,mouse gut,built environment,human gut,primate gut,dog gut,hot spring associated,cattle associated,bird gut,activated sludge,wastewater,soil,bee gut,insect associated,deer gut,cat gut,isolate,human associated,bat gut,cattle gut,goat gut,plant associated,cattle rumen,air,water associated,human respiratory tract,human urogenital tract,human mouth,rat gut,marine,chicken gut,mock community,insect gut
smORF_110	bear gut,pig gut,river associated,human skin,mouse gut,built environment,human gut,primate gut,dog gut,bird gut,wastewater,activated sludge,soil,bee gut,anthropogenic,insect associated,lake associated,isolate,human associated,bat gut,cattle gut,cat gut,plant associated,air,water associated,human saliva,rat gut,marine,coral associated,chicken gut,insect gut
smORF_111	wastewater,pig gut,human gut
smORF_112	bear gut,pig gut,river associated,mouse gut,built environment,human gut,primate gut,dog gut,cattle associated,bird gut,activated sludge,planarian associated,wastewater,soil,insect associated,deer gut,isolate,cat gut,human associated,bat gut,cattle gut,dog associated,air,water associated,human urogenital tract,human mouth,marine,chicken gut,mock community,insect gut
smORF_113	bear gut,pig gut,human skin,river associated,mouse gut,built environment,human gut,primate gut,dog gut,cattle associated,bird gut,activated sludge,planarian associated,wastewater,soil,bee gut,insect associated,deer gut,cat gut,isolate,human associated,bat gut,cattle gut,goat gut,lake associated,plant associated,cattle rumen,air,water associated,human respiratory tract,human urogenital tract,human mouth,rat gut,marine,chicken gut,mock community,insect gut
smORF_114	bear gut,pig gut,river associated,mouse gut,built environment,human gut,primate gut,dog gut,cattle associated,bird gut,activated sludge,wastewater,soil,insect associated,deer gut,cat gut,isolate,human associated,bat gut,cattle gut,goat gut,plant associated,cattle rumen,air,water associated,human respiratory tract,human urogenital tract,rat gut,marine,chicken gut,mock community,insect gut
smORF_115	bear gut,pig gut,human skin,river associated,mouse gut,built environment,human gut,primate gut,dog gut,cattle associated,bird gut,activated sludge,planarian associated,wastewater,soil,bee gut,insect associated,deer gut,isolate,cat gut,human associated,bat gut,cattle gut,goat gut,plant associated,cattle rumen,air,water associated,human urogenital tract,rat gut,marine,chicken gut,mock community,insect gut
smORF_116	pig gut,cattle gut,mouse gut,human gut,marine,isolate
smORF_117	rabbit gut,pig gut,cattle gut,wastewater,mouse gut,human gut,dog gut,rat gut,marine,chicken gut,cat gut,isolate
smORF_118	marine,human gut,isolate
smORF_119	mouse gut,marine,human gut,isolate
smORF_120	marine,human gut,isolate
smORF_121	pig gut,cattle gut,mouse gut,human gut,rat gut,marine,chicken gut,isolate
smORF_122	pig gut,cattle gut,water associated,wastewater,activated sludge,mouse gut,built environment,human gut,isolate,primate gut,dog gut,rat gut,soil,marine,chicken gut,cat gut
smORF_123	marine,human gut
smORF_124	marine,human gut,isolate
smORF_125	bear gut,pig gut,human skin,river associated,mouse gut,built environment,human gut,primate gut,dog gut,hot spring associated,cattle associated,bird gut,activated sludge,wastewater,soil,bee gut,insect associated,deer gut,cat gut,isolate,human associated,bat gut,cattle gut,goat gut,plant associated,lake associated,dog associated,cattle rumen,air,water associated,human respiratory tract,human urogenital tract,human mouth,rat gut,marine,chicken gut,mock community,insect gut
smORF_126	bear gut,bat gut,cattle gut,pig gut,human respiratory tract,wastewater,human urogenital tract,mouse gut,built environment,human gut,dog gut,chicken gut,insect associated,isolate
smORF_127	bear gut,pig gut,river associated,mouse gut,built environment,human gut,primate gut,dog gut,cattle associated,bird gut,activated sludge,wastewater,soil,bee gut,deer gut,cat gut,human associated,cattle gut,air,rat gut,chicken gut
smORF_128	pig gut,river associated,human skin,mouse gut,built environment,human gut,primate gut,dog gut,cattle associated,bird gut,wastewater,activated sludge,soil,bee gut,anthropogenic,insect associated,lake associated,cat gut,human associated,bat gut,cattle gut,isolate,dog associated,air,rat gut,marine,chicken gut
smORF_129	pig gut,human skin,river associated,mouse gut,built environment,human gut,primate gut,dog gut,cattle associated,bird gut,activated sludge,planarian associated,wastewater,soil,insect associated,deer gut,isolate,cat gut,human associated,bat gut,cattle gut,air,water associated,human urogenital tract,human mouth,rat gut,marine,chicken gut,insect gut
smORF_130	bear gut,pig gut,river associated,mouse gut,built environment,human gut,primate gut,dog gut,cattle associated,bird gut,activated sludge,wastewater,soil,insect associated,deer gut,cat gut,isolate,human associated,cattle gut,goat gut,plant associated,dog associated,cattle rumen,air,water associated,human respiratory tract,human urogenital tract,human mouth,rat gut,marine,chicken gut,mock community,insect gut
smORF_131	bear gut,pig gut,human skin,river associated,mouse gut,built environment,human gut,primate gut,dog gut,hot spring associated,bird gut,activated sludge,wastewater,soil,bee gut,insect associated,deer gut,cat gut,isolate,human associated,bat gut,cattle gut,goat gut,plant associated,lake associated,dog associated,cattle rumen,air,water associated,human respiratory tract,human urogenital tract,human mouth,rat gut,marine,chicken gut,mock community,insect gut
smORF_132	dog gut,human gut
smORF_133	pig gut,river associated,mouse gut,built environment,human gut,dog gut,planarian associated,wastewater,soil,anthropogenic,insect associated,deer gut,cat gut,human associated,cattle gut,air,rat gut,marine,chicken gut
smORF_134	human gut
smORF_135	primate gut,pig gut,cattle gut,human gut
smORF_136	pig gut,wastewater,mouse gut,built environment,human gut,dog gut
smORF_137	pig gut,cattle gut,bird gut,wastewater,mouse gut,human gut,primate gut,dog gut,soil,isolate
smORF_138	mouse gut,pig gut,cattle gut,human gut
smORF_139	bear gut,pig gut,human skin,river associated,mouse gut,built environment,human gut,primate gut,dog gut,cattle associated,bird gut,wastewater,activated sludge,planarian associated,soil,bee gut,insect associated,deer gut,cat gut,isolate,human associated,bat gut,cattle gut,goat gut,guinea pig gut,plant associated,dog associated,cattle rumen,air,water associated,human respiratory tract,human urogenital tract,human mouth,rat gut,marine,chicken gut,mock community,insect gut
smORF_140	bear gut,pig gut,river associated,mouse gut,built environment,human gut,primate gut,dog gut,bird gut,planarian associated,wastewater,activated sludge,soil,bee gut,insect associated,deer gut,cat gut,isolate,human associated,cattle gut,dog associated,air,water associated,human urogenital tract,human mouth,rat gut,marine,chicken gut,mock community,insect gut
smORF_141	bear gut,pig gut,human skin,river associated,mouse gut,built environment,human gut,primate gut,dog gut,hot spring associated,cattle associated,bird gut,planarian associated,wastewater,activated sludge,soil,bee gut,insect associated,deer gut,isolate,cat gut,human associated,bat gut,cattle gut,lake associated,plant associated,dog associated,air,water associated,human respiratory tract,human urogenital tract,human mouth,marine,chicken gut,mock community,insect gut
smORF_142	bear gut,pig gut,human skin,river associated,mouse gut,built environment,human gut,primate gut,dog gut,hot spring associated,cattle associated,bird gut,activated sludge,planarian associated,wastewater,soil,bee gut,insect associated,deer gut,cat gut,isolate,human associated,cattle gut,goat gut,plant associated,dog associated,cattle rumen,air,water associated,human respiratory tract,human urogenital tract,human mouth,rat gut,marine,chicken gut,mock community,insect gut
smORF_143	bear gut,pig gut,river associated,mouse gut,built environment,human gut,primate gut,dog gut,hot spring associated,cattle associated,bird gut,activated sludge,planarian associated,wastewater,soil,bee gut,insect associated,deer gut,isolate,cat gut,human associated,bat gut,cattle gut,goat gut,plant associated,cattle rumen,air,human urogenital tract,human mouth,rat gut,marine,chicken gut,mock community,insect gut
smORF_144	wastewater,pig gut,chicken gut,human gut
smORF_145	pig gut,cattle gut,human skin,wastewater,mouse gut,human gut,primate gut,dog gut,chicken gut,isolate
smORF_146	pig gut,wastewater,built environment,human gut,isolate
smORF_147	bear gut,pig gut,human skin,river associated,mouse gut,built environment,human gut,primate gut,dog gut,hot spring associated,cattle associated,bird gut,activated sludge,planarian associated,wastewater,soil,bee gut,fermented food,insect associated,deer gut,cat gut,isolate,human associated,bat gut,cattle gut,goat gut,plant associated,lake associated,crustacean associated,cattle rumen,air,water associated,human respiratory tract,human urogenital tract,human mouth,human saliva,rat gut,marine,chicken gut,mock community,insect gut
smORF_148	bear gut,pig gut,river associated,mouse gut,built environment,human gut,primate gut,dog gut,activated sludge,wastewater,soil,insect associated,isolate,cat gut,human associated,cattle gut,cattle rumen,human urogenital tract,marine,chicken gut,mock community
