accession	arc_trans_count	arc_trans_all	arc_not_trans_count	arc_not_trans_all	arc_trans_proportion	arc_not_trans_proportion	arc_trans_fold_change	arc_p_fisher	arc_p_chi2
COG1531	0.0	11347.0	1023.0	191500.0	0.0	0.005342036553524804	0.0	5.722310312606158e-26	1.0167646545574432e-14
COG1605	0.0	11347.0	996.0	191500.0	0.0	0.005201044386422976	0.0	2.7356451078912923e-25	2.311007918927047e-14
COG0023	0.0	11347.0	911.0	191500.0	0.0	0.004757180156657963	0.0	2.692957112242641e-23	3.0676339381576534e-13
COG5428	0.0	11347.0	867.0	191500.0	0.0	0.004527415143603133	0.0	4.484170265314243e-22	1.1707157269027222e-12
COG2154	0.0	11347.0	774.0	191500.0	0.0	0.00404177545691906	0.0	6.563042001269032e-20	1.9900422989539253e-11
COG1888	0.0	11347.0	736.0	191500.0	0.0	0.003843342036553525	0.0	7.004996888870832e-19	6.34039696989809e-11
COG0236	0.0	11347.0	702.0	191500.0	0.0	0.0036657963446475195	0.0	4.917988028517451e-18	1.789392279728764e-10
COG0361	0.0	11347.0	625.0	191500.0	0.0	0.0032637075718015664	0.0	3.529967461497548e-16	1.881389793774265e-09
COG1594	0.0	11347.0	595.0	191500.0	0.0	0.0031070496083550913	0.0	2.5972413868767846e-15	4.711648768065044e-09
COG3695	0.0	11347.0	550.0	191500.0	0.0	0.0028720626631853785	0.0	4.2806607926471816e-14	1.8706478920444412e-08
COG4895	0.0	11347.0	528.0	191500.0	0.0	0.0027571801566579636	0.0	1.3083985295101678e-13	3.673991600556762e-08
COG0234	0.0	11347.0	494.0	191500.0	0.0	0.002579634464751958	0.0	9.175002693779028e-13	1.0441584551384021e-07
COG2023	0.0	11347.0	491.0	191500.0	0.0	0.0025639686684073106	0.0	8.735929610742481e-13	1.1450636951116946e-07
COG1694	0.0	11347.0	402.0	191500.0	0.0	0.0020992167101827677	0.0	1.3957216933824643e-10	1.7813120852548581e-06
COG3609	0.0	11347.0	402.0	191500.0	0.0	0.0020992167101827677	0.0	1.3957216933824643e-10	1.7813120852548581e-06
COG0011	0.0	11347.0	399.0	191500.0	0.0	0.00208355091383812	0.0	2.1624068554705047e-10	1.9545630971794094e-06
COG1745	0.0	11347.0	386.0	191500.0	0.0	0.0020156657963446476	0.0	4.789684164686956e-10	2.9231056576591078e-06
COG1145	0.0	11347.0	382.0	191500.0	0.0	0.0019947780678851177	0.0	4.5115936101229936e-10	3.308781317839455e-06
COG2004	0.0	11347.0	375.0	191500.0	0.0	0.0019582245430809398	0.0	6.665396643439687e-10	4.110619221165735e-06
COG2151	0.0	11347.0	367.0	191500.0	0.0	0.00191644908616188	0.0	1.610408694673629e-09	5.268495926993603e-06
COG3041	0.0	11347.0	362.0	191500.0	0.0	0.0018903394255874674	0.0	1.4596751600018938e-09	6.153077202476709e-06
COG1722	0.0	11347.0	351.0	191500.0	0.0	0.0018328981723237598	0.0	3.294573996752138e-09	8.65981434348577e-06
COG4830	0.0	11347.0	350.0	191500.0	0.0	0.0018276762402088772	0.0	3.238880643252658e-09	8.93325394750052e-06
COG4746	0.0	11347.0	344.0	191500.0	0.0	0.0017963446475195823	0.0	4.85031120520729e-09	1.0765839030862072e-05
COG0186	0.0	11347.0	337.0	191500.0	0.0	0.0017597911227154046	0.0	7.143263521814863e-09	1.3386372495198127e-05
COG3655	0.0	11347.0	328.0	191500.0	0.0	0.0017127937336814622	0.0	1.0310229256806752e-08	1.771851884107067e-05
COG0140	0.0	11347.0	326.0	191500.0	0.0	0.0017023498694516972	0.0	1.6635052254556786e-08	1.8858393228069835e-05
COG1342	0.0	11347.0	323.0	191500.0	0.0	0.0016866840731070496	0.0	1.551026894223197e-08	2.0707781780418654e-05
COG4892	0.0	11347.0	305.0	191500.0	0.0	0.0015926892950391645	0.0	5.2758596079464356e-08	3.632877987625652e-05
COG2146	0.0	11347.0	297.0	191500.0	0.0	0.0015509138381201045	0.0	7.573759906491413e-08	4.6660460742513244e-05
COG0694	0.0	11347.0	287.0	191500.0	0.0	0.0014986945169712794	0.0	1.0781501430889493e-07	6.382795887165132e-05
COG4014	0.0	11347.0	285.0	191500.0	0.0	0.0014882506527415143	0.0	1.7250106129404868e-07	6.795943425787585e-05
COG3388	0.0	11347.0	279.0	191500.0	0.0	0.0014569190600522194	0.0	2.61669631482238e-07	8.203916957986476e-05
