accession	bac_not_trans_count	bac_not_trans_all
COG0735	9	4292445
COG3060	8	4292445
COG0071	8	4292445
COG1917	8	4292445
COG3355	8	4292445
COG1832	8	4292445
COG0605	8	4292445
COG1153	8	4292445
COG3832	8	4292445
COG4541	8	4292445
COG4831	8	4292445
COG5591	8	4292445
COG5611	8	4292445
COG2080	8	4292445
COG1047	8	4292445
COG2193	8	4292445
COG0096	7	4292445
COG0355	7	4292445
COG2153	7	4292445
COG2023	7	4292445
COG1869	7	4292445
COG1671	7	4292445
COG1098	7	4292445
COG3245	7	4292445
COG3731	6	4292445
COG0049	6	4292445
COG2030	6	4292445
COG3116	6	4292445
COG3011	6	4292445
COG3603	6	4292445
COG1314	6	4292445
COG0698	6	4292445
COG2164	6	4292445
COG4699	6	4292445
COG0103	6	4292445
COG1983	6	4292445
COG4023	6	4292445
COG4004	6	4292445
COG3737	6	4292445
COG4374	6	4292445
COG1803	6	4292445
COG0295	5	4292445
COG0756	5	4292445
COG1859	5	4292445
COG4033	5	4292445
COG3651	5	4292445
COG1247	5	4292445
COG0783	5	4292445
COG2818	5	4292445
COG4323	5	4292445
COG3607	5	4292445
COG2110	5	4292445
COG0629	5	4292445
COG0757	5	4292445
COG4675	5	4292445
COG2522	5	4292445
COG5469	5	4292445
COG4154	5	4292445
COG0663	5	4292445
COG3270	5	4292445
COG0229	5	4292445
COG5204	4	4292445
COG1881	4	4292445
COG0242	4	4292445
COG3085	4	4292445
COG3755	4	4292445
COG3232	4	4292445
COG3702	4	4292445
COG4014	4	4292445
COG2346	4	4292445
COG3236	4	4292445
COG4095	4	4292445
COG5485	4	4292445
COG0782	4	4292445
COG0080	4	4292445
COG2811	4	4292445
COG3415	4	4292445
COG5015	4	4292445
COG3241	4	4292445
COG1662	4	4292445
COG2050	4	4292445
COG2703	4	4292445
COG0509	4	4292445
COG2163	4	4292445
COG4101	4	4292445
COG0636	4	4292445
COG1765	4	4292445
COG4818	4	4292445
COG1513	4	4292445
COG0100	4	4292445
COG3298	3	4292445
COG2261	3	4292445
COG5433	3	4292445
COG2109	3	4292445
COG4803	3	4292445
COG1720	3	4292445
COG4470	3	4292445
COG0410	3	4292445
COG4049	3	4292445
COG0822	3	4292445
COG3112	3	4292445
COG4259	3	4292445
COG1959	3	4292445
COG3767	3	4292445
COG3542	3	4292445
COG4308	3	4292445
COG1576	3	4292445
COG1320	3	4292445
COG3805	3	4292445
COG4744	3	4292445
COG3412	3	4292445
COG2832	3	4292445
COG1745	3	4292445
COG2199	3	4292445
COG3676	3	4292445
COG4687	3	4292445
COG2118	3	4292445
COG4738	3	4292445
COG4939	3	4292445
COG1778	3	4292445
COG3193	3	4292445
COG3462	2	4292445
COG0764	2	4292445
COG4954	2	4292445
COG3255	2	4292445
COG0225	2	4292445
COG5247	2	4292445
COG4736	2	4292445
COG4273	2	4292445
COG0035	2	4292445
COG5567	2	4292445
COG0512	2	4292445
COG5502	2	4292445
COG3772	2	4292445
COG1895	2	4292445
COG3602	2	4292445
COG1781	2	4292445
COG0219	2	4292445
COG1838	2	4292445
COG3917	2	4292445
COG3427	2	4292445
COG2005	2	4292445
COG0105	2	4292445
COG5562	2	4292445
COG0328	2	4292445
COG4969	2	4292445
COG1592	2	4292445
COG3874	2	4292445
COG1683	2	4292445
COG4918	2	4292445
COG0781	2	4292445
COG4068	2	4292445
COG1970	2	4292445
COG0221	2	4292445
COG2172	2	4292445
COG2969	2	4292445
COG3012	2	4292445
COG4518	2	4292445
COG1308	2	4292445
COG4832	2	4292445
COG1666	2	4292445
COG0848	2	4292445
COG4283	2	4292445
COG5572	2	4292445
COG2310	2	4292445
COG3157	2	4292445
COG0816	2	4292445
COG2185	2	4292445
COG4288	2	4292445
COG1522	2	4292445
COG4804	2	4292445
COG3543	2	4292445
COG2954	2	4292445
COG1142	2	4292445
COG1595	2	4292445
COG3445	2	4292445
COG3326	2	4292445
COG2343	2	4292445
COG0302	2	4292445
COG0622	2	4292445
COG4454	2	4292445
COG1610	1	4292445
COG4334	1	4292445
COG0163	1	4292445
COG3409	1	4292445
COG1607	1	4292445
COG2606	1	4292445
COG3806	1	4292445
COG0589	1	4292445
COG5088	1	4292445
COG5652	1	4292445
COG0097	1	4292445
COG1952	1	4292445
COG0217	1	4292445
COG2077	1	4292445
COG3169	1	4292445
COG1545	1	4292445
COG5566	1	4292445
COG3760	1	4292445
COG3133	1	4292445
COG4728	1	4292445
COG3759	1	4292445
COG4238	1	4292445
COG5625	1	4292445
COG0522	1	4292445
COG5550	1	4292445
COG0314	1	4292445
COG4185	1	4292445
COG1126	1	4292445
COG4598	1	4292445
COG0135	1	4292445
COG4847	1	4292445
COG2318	1	4292445
COG3365	1	4292445
COG5005	1	4292445
COG4003	1	4292445
COG1854	1	4292445
COG0551	1	4292445
COG1321	1	4292445
COG3703	1	4292445
COG1898	1	4292445
COG4013	1	4292445
COG4405	1	4292445
COG3630	1	4292445
COG3910	1	4292445
COG1136	1	4292445
COG1656	1	4292445
COG2910	1	4292445
COG1528	1	4292445
COG3545	1	4292445
COG4567	1	4292445
COG2405	1	4292445
COG3162	1	4292445
COG0546	1	4292445
COG3364	1	4292445
COG4540	1	4292445
COG3337	1	4292445
COG2731	1	4292445
COG3444	1	4292445
COG5454	1	4292445
COG0590	1	4292445
COG2383	1	4292445
COG1986	1	4292445
COG3467	1	4292445
COG1327	1	4292445
COG4845	1	4292445
COG0041	1	4292445
COG2518	1	4292445
COG1412	1	4292445
COG5341	1	4292445
COG0350	1	4292445
COG2001	1	4292445
COG3453	1	4292445
