domain,phylum,transmembrane,count
d__Bacteria,p__UBP18,Y,69
d__Bacteria,p__UBP4,N,1529
d__Bacteria,p__UBP4,Y,304
d__Bacteria,p__UBP6,N,5550
d__Bacteria,p__UBP6,Y,894
d__Bacteria,p__UBP7,N,2460
d__Bacteria,p__UBP7,Y,449
d__Bacteria,p__UBP7_A,N,3483
d__Bacteria,p__UBP7_A,Y,522
d__Bacteria,p__Verrucomicrobia,N,592
d__Bacteria,p__Verrucomicrobia,Y,141
d__Bacteria,p__Verrucomicrobiota,N,6876407
d__Bacteria,p__Verrucomicrobiota,Y,985857
d__Bacteria,p__Verrucomicrobiota_A,N,146702
d__Bacteria,p__Verrucomicrobiota_A,Y,22612
d__Bacteria,p__WOR-3,N,56121
d__Bacteria,p__WOR-3,Y,9292
d__Bacteria,p__Wallbacteria,N,3825
d__Bacteria,p__Wallbacteria,Y,765
d__Bacteria,p__Zixibacteria,N,83815
d__Bacteria,p__Zixibacteria,Y,13691
