accession	arc_trans_count	arc_trans_all	arc_not_trans_count	arc_not_trans_all	arc_trans_proportion	arc_not_trans_proportion	arc_trans_fold_change
COG2036	1.0	11347.0	115.0	191500.0	8.812902088657794e-05	0.0006005221932114883	0.1467539782589537
COG4009	1.0	11347.0	104.0	191500.0	8.812902088657794e-05	0.0005430809399477807	0.16227603365172766
COG1724	0.0	11347.0	3206.0	191500.0	0.0	0.016741514360313316	0.0
COG1998	0.0	11347.0	2933.0	191500.0	0.0	0.015315926892950391	0.0
COG1383	0.0	11347.0	2907.0	191500.0	0.0	0.015180156657963446	0.0
COG2093	0.0	11347.0	2891.0	191500.0	0.0	0.015096605744125326	0.0
COG1761	0.0	11347.0	2877.0	191500.0	0.0	0.015023498694516971	0.0
COG0255	0.0	11347.0	2772.0	191500.0	0.0	0.014475195822454308	0.0
COG0089	0.0	11347.0	2644.0	191500.0	0.0	0.013806788511749346	0.0
COG1698	0.0	11347.0	2470.0	191500.0	0.0	0.012898172323759791	0.0
COG2051	0.0	11347.0	2247.0	191500.0	0.0	0.011733681462140991	0.0
COG1828	0.0	11347.0	1803.0	191500.0	0.0	0.009415143603133159	0.0
COG2451	0.0	11347.0	1649.0	191500.0	0.0	0.008610966057441253	0.0
COG1996	0.0	11347.0	1564.0	191500.0	0.0	0.00816710182767624	0.0
COG1631	0.0	11347.0	1394.0	191500.0	0.0	0.0072793733681462145	0.0
COG0721	0.0	11347.0	1361.0	191500.0	0.0	0.007107049608355091	0.0
COG1400	0.0	11347.0	1340.0	191500.0	0.0	0.0069973890339425585	0.0
COG2157	0.0	11347.0	1208.0	191500.0	0.0	0.006308093994778068	0.0
COG2097	0.0	11347.0	1122.0	191500.0	0.0	0.005859007832898173	0.0
COG0199	0.0	11347.0	1085.0	191500.0	0.0	0.00566579634464752	0.0
COG4274	0.0	11347.0	1027.0	191500.0	0.0	0.005362924281984334	0.0
COG1531	0.0	11347.0	1023.0	191500.0	0.0	0.005342036553524804	0.0
COG1605	0.0	11347.0	996.0	191500.0	0.0	0.005201044386422976	0.0
COG0023	0.0	11347.0	911.0	191500.0	0.0	0.004757180156657963	0.0
COG5428	0.0	11347.0	867.0	191500.0	0.0	0.004527415143603133	0.0
COG2154	0.0	11347.0	774.0	191500.0	0.0	0.00404177545691906	0.0
COG1888	0.0	11347.0	736.0	191500.0	0.0	0.003843342036553525	0.0
COG0236	0.0	11347.0	702.0	191500.0	0.0	0.0036657963446475195	0.0
COG0361	0.0	11347.0	625.0	191500.0	0.0	0.0032637075718015664	0.0
COG1594	0.0	11347.0	595.0	191500.0	0.0	0.0031070496083550913	0.0
COG3695	0.0	11347.0	550.0	191500.0	0.0	0.0028720626631853785	0.0
COG4895	0.0	11347.0	528.0	191500.0	0.0	0.0027571801566579636	0.0
COG0234	0.0	11347.0	494.0	191500.0	0.0	0.002579634464751958	0.0
COG2023	0.0	11347.0	491.0	191500.0	0.0	0.0025639686684073106	0.0
COG1694	0.0	11347.0	402.0	191500.0	0.0	0.0020992167101827677	0.0
COG3609	0.0	11347.0	402.0	191500.0	0.0	0.0020992167101827677	0.0
COG0011	0.0	11347.0	399.0	191500.0	0.0	0.00208355091383812	0.0
COG1745	0.0	11347.0	386.0	191500.0	0.0	0.0020156657963446476	0.0
COG1145	0.0	11347.0	382.0	191500.0	0.0	0.0019947780678851177	0.0
COG2004	0.0	11347.0	375.0	191500.0	0.0	0.0019582245430809398	0.0
COG2151	0.0	11347.0	367.0	191500.0	0.0	0.00191644908616188	0.0
