accession	arc_trans_count	arc_trans_all	bac_trans_count	bac_trans_all	arc_trans_proportion	bac_trans_proportion	fold change
COG3830	6.0	11347	240.0	455582	0.0005287741253194677	0.0005267986882712662	1.0037498898387238
COG4541	5.0	11347	636.0	455582	0.0004406451044328897	0.0013960165239188555	0.3156446194461396
COG1436	5.0	11347	13.0	455582	0.0004406451044328897	2.853492894802692e-05	15.44230599751883
COG3414	5.0	11347	1905.0	455582	0.0004406451044328897	0.004181464588153176	0.1053805658623332
COG4575	5.0	11347	1845.0	455582	0.0004406451044328897	0.004049764916085359	0.10880757613427902
COG3585	5.0	11347	126.0	455582	0.0004406451044328897	0.00027656931134241474	1.5932537933947999
COG2608	4.0	11347	5807.0	455582	0.0003525160835463118	0.012746333261630178	0.02765627387191249
COG2075	4.0	11347	1.0	455582	0.0003525160835463118	2.194994534463609e-06	160.59998237419583
COG2142	4.0	11347	274.0	455582	0.0003525160835463118	0.0006014285024430289	0.5861313225335614
COG1254	3.0	11347	394.0	455582	0.00026438706265973383	0.000864827846578662	0.30571062634681945
COG0239	3.0	11347	45.0	455582	0.00026438706265973383	9.877475405086241e-05	2.6766663729032634
COG1918	3.0	11347	1555.0	455582	0.00026438706265973383	0.0034132165010909124	0.07745979857276325
COG3668	3.0	11347	495.0	455582	0.00026438706265973383	0.0010865222945594865	0.2433333066275694
COG1773	3.0	11347	783.0	455582	0.00026438706265973383	0.001718680720485006	0.15383140074156687
COG2835	3.0	11347	197.0	455582	0.00026438706265973383	0.000432413923289331	0.6114212526936389
COG3197	3.0	11347	12817.0	455582	0.00026438706265973383	0.02813324494822008	0.009397673931547699
COG2827	3.0	11347	382.0	455582	0.00026438706265973383	0.0008384879121650987	0.31531410152001793
COG0401	3.0	11347	3683.0	455582	0.00026438706265973383	0.008084164870429473	0.03270431354348272
COG3152	3.0	11347	155.0	455582	0.00026438706265973383	0.0003402241528418594	0.7770966889073991
COG2012	3.0	11347	0.0	455582	0.00026438706265973383	0.0	inf
COG1476	2.0	11347	958.0	455582	0.0001762580417731559	0.0021028047640161375	0.0838204500909164
COG3360	2.0	11347	39.0	455582	0.0001762580417731559	8.560478684408075e-05	2.0589741330025104
COG0393	2.0	11347	33.0	455582	0.0001762580417731559	7.24348196372991e-05	2.433333066275694
COG2412	2.0	11347	0.0	455582	0.0001762580417731559	0.0	inf
COG3369	2.0	11347	8.0	455582	0.0001762580417731559	1.7559956275708873e-05	10.03749889838724
COG2929	2.0	11347	621.0	455582	0.0001762580417731559	0.0013630916059019012	0.12930755424653448
COG1687	2.0	11347	783.0	455582	0.0001762580417731559	0.001718680720485006	0.10255426716104457
COG3357	2.0	11347	6.0	455582	0.0001762580417731559	1.3169967206781655e-05	13.383331864516318
COG2863	2.0	11347	2308.0	455582	0.0001762580417731559	0.00506604738554201	0.03479202391122093
COG2139	2.0	11347	0.0	455582	0.0001762580417731559	0.0	inf
COG5131	2.0	11347	4.0	455582	0.0001762580417731559	8.779978137854436e-06	20.07499779677448
COG3815	2.0	11347	15.0	455582	0.0001762580417731559	3.292491801695414e-05	5.353332745806527
COG0640	2.0	11347	167.0	455582	0.0001762580417731559	0.0003665640872554227	0.4808382705814246
COG1358	2.0	11347	14.0	455582	0.0001762580417731559	3.072992348249053e-05	5.73571365622128
COG4327	2.0	11347	3728.0	455582	0.0001762580417731559	0.008182939624480336	0.021539697206839566
COG1872	2.0	11347	39.0	455582	0.0001762580417731559	8.560478684408075e-05	2.0589741330025104
COG3296	2.0	11347	167.0	455582	0.0001762580417731559	0.0003665640872554227	0.4808382705814246
COG1144	1.0	11347	59.0	455582	8.812902088657794e-05	0.00012950467753335295	0.6805083998906601
COG4888	1.0	11347	0.0	455582	8.812902088657794e-05	0.0	inf
COG4545	1.0	11347	24.0	455582	8.812902088657794e-05	5.267986882712662e-05	1.6729164830645398
COG4919	1.0	11347	1.0	455582	8.812902088657794e-05	2.194994534463609e-06	40.14999559354896
COG2126	1.0	11347	0.0	455582	8.812902088657794e-05	0.0	inf
COG2174	1.0	11347	0.0	455582	8.812902088657794e-05	0.0	inf
COG3422	1.0	11347	50.0	455582	8.812902088657794e-05	0.00010974972672318046	0.8029999118709791
COG2167	1.0	11347	0.0	455582	8.812902088657794e-05	0.0	inf
COG0599	1.0	11347	1.0	455582	8.812902088657794e-05	2.194994534463609e-06	40.14999559354896
COG3339	1.0	11347	45.0	455582	8.812902088657794e-05	9.877475405086241e-05	0.8922221243010878
COG3277	1.0	11347	0.0	455582	8.812902088657794e-05	0.0	inf
COG0607	1.0	11347	35.0	455582	8.812902088657794e-05	7.682480870622632e-05	1.147142731244256
COG5272	1.0	11347	21.0	455582	8.812902088657794e-05	4.6094885223735795e-05	1.9119045520737596
COG1532	1.0	11347	3.0	455582	8.812902088657794e-05	6.584983603390827e-06	13.383331864516318
COG0828	1.0	11347	26.0	455582	8.812902088657794e-05	5.706985789605384e-05	1.5442305997518828
COG4855	1.0	11347	4.0	455582	8.812902088657794e-05	8.779978137854436e-06	10.03749889838724
COG1997	1.0	11347	0.0	455582	8.812902088657794e-05	0.0	inf
COG3162	1.0	11347	874.0	455582	8.812902088657794e-05	0.0019184252231211943	0.04593821006126883
COG2892	1.0	11347	0.0	455582	8.812902088657794e-05	0.0	inf
COG1669	1.0	11347	303.0	455582	8.812902088657794e-05	0.0006650833439424736	0.1325082362823398
COG1958	1.0	11347	3.0	455582	8.812902088657794e-05	6.584983603390827e-06	13.383331864516318
COG0316	1.0	11347	45.0	455582	8.812902088657794e-05	9.877475405086241e-05	0.8922221243010878
COG2092	1.0	11347	0.0	455582	8.812902088657794e-05	0.0	inf
COG2880	1.0	11347	0.0	455582	8.812902088657794e-05	0.0	inf
COG1534	1.0	11347	84.0	455582	8.812902088657794e-05	0.00018437954089494318	0.4779761380184399
COG1965	1.0	11347	0.0	455582	8.812902088657794e-05	0.0	inf
COG5606	1.0	11347	17.0	455582	8.812902088657794e-05	3.731490708588136e-05	2.36176444667935
COG1343	1.0	11347	9.0	455582	8.812902088657794e-05	1.9754950810172482e-05	4.46111062150544
COG4272	1.0	11347	61.0	455582	8.812902088657794e-05	0.00013389466660228017	0.658196649074573
COG0762	1.0	11347	12979.0	455582	8.812902088657794e-05	0.028488834062803184	0.0030934583244894794
COG3269	1.0	11347	0.0	455582	8.812902088657794e-05	0.0	inf
COG4828	1.0	11347	39.0	455582	8.812902088657794e-05	8.560478684408075e-05	1.0294870665012552
COG2456	1.0	11347	9.0	455582	8.812902088657794e-05	1.9754950810172482e-05	4.46111062150544
COG3293	1.0	11347	14.0	455582	8.812902088657794e-05	3.072992348249053e-05	2.86785682811064
COG4980	1.0	11347	1378.0	455582	8.812902088657794e-05	0.0030247024684908535	0.029136426410412884
COG0425	1.0	11347	132.0	455582	8.812902088657794e-05	0.0002897392785491964	0.30416663328446175
COG2337	1.0	11347	63.0	455582	8.812902088657794e-05	0.00013828465567120737	0.63730151735792
COG0185	1.0	11347	20.0	455582	8.812902088657794e-05	4.389989068927218e-05	2.0074997796774476
COG4537	1.0	11347	321.0	455582	8.812902088657794e-05	0.0007045932455628186	0.12507786789267586
COG2919	1.0	11347	2153.0	455582	8.812902088657794e-05	0.0047258232327001505	0.01864839553810913
COG2002	1.0	11347	13.0	455582	8.812902088657794e-05	2.853492894802692e-05	3.0884611995037656
COG1598	1.0	11347	126.0	455582	8.812902088657794e-05	0.00027656931134241474	0.31865075867896
COG2442	1.0	11347	434.0	455582	8.812902088657794e-05	0.0009526276279572064	0.09251151058421418
COG1369	1.0	11347	0.0	455582	8.812902088657794e-05	0.0	inf
COG2036	1.0	11347	1.0	455582	8.812902088657794e-05	2.194994534463609e-06	40.14999559354896
COG4009	1.0	11347	0.0	455582	8.812902088657794e-05	0.0	inf
COG1987	0.0	11347	24633.0	455582	0.0	0.054069300367442084	0.0
COG4794	0.0	11347	19919.0	455582	0.0	0.04372209613198063	0.0
COG0690	0.0	11347	16813.0	455582	0.0	0.03690444310793666	0.0
COG1314	0.0	11347	11148.0	455582	0.0	0.024469799070200315	0.0
COG3242	0.0	11347	9615.0	455582	0.0	0.021104872448867603	0.0
COG1862	0.0	11347	9060.0	455582	0.0	0.0198866504822403	0.0
COG4736	0.0	11347	5985.0	455582	0.0	0.013137042288764701	0.0
COG5546	0.0	11347	3764.0	455582	0.0	0.008261959427721025	0.0
COG3114	0.0	11347	3674.0	455582	0.0	0.0080644099196193	0.0
COG5454	0.0	11347	3246.0	455582	0.0	0.0071249522588688755	0.0
COG5268	0.0	11347	2739.0	455582	0.0	0.006012090029895826	0.0
COG0759	0.0	11347	2538.0	455582	0.0	0.00557089612846864	0.0
COG4890	0.0	11347	2056.0	455582	0.0	0.004512908762857181	0.0
COG5477	0.0	11347	1823.0	455582	0.0	0.004001475036327159	0.0
COG3763	0.0	11347	1739.0	455582	0.0	0.0038170954954322165	0.0
COG2771	0.0	11347	1343.0	455582	0.0	0.0029478776597846273	0.0
COG4298	0.0	11347	1332.0	455582	0.0	0.0029237327199055276	0.0
COG2991	0.0	11347	1222.0	455582	0.0	0.0026822833211145305	0.0
COG5572	0.0	11347	1214.0	455582	0.0	0.0026647233648388214	0.0
COG3169	0.0	11347	1129.0	455582	0.0	0.0024781488294094147	0.0
COG5567	0.0	11347	1108.0	455582	0.0	0.002432053944185679	0.0
COG4317	0.0	11347	992.0	455582	0.0	0.0021774345781879	0.0
COG3702	0.0	11347	939.0	455582	0.0	0.002061099867861329	0.0
COG3116	0.0	11347	926.0	455582	0.0	0.0020325649389133023	0.0
COG1925	0.0	11347	848.0	455582	0.0	0.0018613553652251406	0.0
COG0333	0.0	11347	842.0	455582	0.0	0.001848185398018359	0.0
COG0254	0.0	11347	730.0	455582	0.0	0.0016023460101584348	0.0
COG5569	0.0	11347	682.0	455582	0.0	0.0014969862725041814	0.0
COG5591	0.0	11347	670.0	455582	0.0	0.0014706463380906182	0.0
COG4836	0.0	11347	652.0	455582	0.0	0.0014311364364702733	0.0
COG5645	0.0	11347	542.0	455582	0.0	0.0011896870376792762	0.0
COG2501	0.0	11347	541.0	455582	0.0	0.0011874920431448127	0.0
COG3655	0.0	11347	534.0	455582	0.0	0.0011721270814035673	0.0
COG5547	0.0	11347	518.0	455582	0.0	0.0011370071688521495	0.0
COG4459	0.0	11347	509.0	455582	0.0	0.001117252218041977	0.0
COG4654	0.0	11347	509.0	455582	0.0	0.001117252218041977	0.0
COG3838	0.0	11347	496.0	455582	0.0	0.00108871728909395	0.0
COG3924	0.0	11347	495.0	455582	0.0	0.0010865222945594865	0.0
COG1440	0.0	11347	467.0	455582	0.0	0.0010250624475945055	0.0
COG0776	0.0	11347	464.0	455582	0.0	0.0010184774639911147	0.0
COG4680	0.0	11347	435.0	455582	0.0	0.00095482262249167	0.0
COG3776	0.0	11347	428.0	455582	0.0	0.0009394576607504247	0.0
COG3237	0.0	11347	391.0	455582	0.0	0.0008582428629752712	0.0
COG3771	0.0	11347	373.0	455582	0.0	0.0008187329613549262	0.0
COG0267	0.0	11347	373.0	455582	0.0	0.0008187329613549262	0.0
COG2906	0.0	11347	364.0	455582	0.0	0.0007989780105447538	0.0
COG2336	0.0	11347	364.0	455582	0.0	0.0007989780105447538	0.0
COG1923	0.0	11347	316.0	455582	0.0	0.0006936182728905005	0.0
COG4104	0.0	11347	297.0	455582	0.0	0.000651913376735692	0.0
COG0347	0.0	11347	297.0	455582	0.0	0.000651913376735692	0.0
COG5336	0.0	11347	294.0	455582	0.0	0.0006453283931323012	0.0
COG3311	0.0	11347	254.0	455582	0.0	0.0005575286117537568	0.0
COG3790	0.0	11347	242.0	455582	0.0	0.0005311886773401934	0.0
