Tool,Length,identity,e-value,Sensitivity,Rescue,Identity
Diamond,30,0.2,0.001,sensitive,0,0.9
Diamond,30,0.1,0.001,sensitive,0,1
MMseqs,30,1,0.001,5.7,9895,0.1
MMseqs,30,0.9,0.001,5.7,9853,0.2
MMseqs,30,0.8,0.001,5.7,9433,0.3
MMseqs,30,0.7,0.001,5.7,5070,0.4
MMseqs,30,0.6,0.001,5.7,334,0.5
MMseqs,30,0.5,0.001,5.7,4,0.6
MMseqs,30,0.4,0.001,5.7,0,0.7
MMseqs,30,0.3,0.001,5.7,0,0.8
MMseqs,30,0.2,0.001,5.7,0,0.9
MMseqs,30,0.1,0.001,5.7,0,1
Diamond,20,1,0.001,sensitive,8421,0.1
Diamond,20,0.9,0.001,sensitive,4367,0.2
Diamond,20,0.8,0.001,sensitive,468,0.3
Diamond,20,0.7,0.001,sensitive,10,0.4
Diamond,20,0.6,0.001,sensitive,0,0.5
Diamond,20,0.5,0.001,sensitive,0,0.6
Diamond,20,0.4,0.001,sensitive,0,0.7
Diamond,20,0.3,0.001,sensitive,0,0.8
Diamond,20,0.2,0.001,sensitive,0,0.9
Diamond,20,0.1,0.001,sensitive,0,1
MMseqs,20,1,0.001,5.7,6834,0.1
MMseqs,20,0.9,0.001,5.7,1808,0.2
MMseqs,20,0.8,0.001,5.7,78,0.3
MMseqs,20,0.7,0.001,5.7,0,0.4
MMseqs,20,0.6,0.001,5.7,0,0.5
MMseqs,20,0.5,0.001,5.7,0,0.6
MMseqs,20,0.4,0.001,5.7,0,0.7
MMseqs,20,0.3,0.001,5.7,0,0.8
MMseqs,20,0.2,0.001,5.7,0,0.9
MMseqs,20,0.1,0.001,5.7,0,1
Blast,80,1,0.001,,9998,0.1
Blast,80,0.9,0.001,,9982,0.2
Blast,80,0.8,0.001,,9973,0.3
Blast,80,0.7,0.001,,9957,0.4
Blast,80,0.6,0.001,,9939,0.5
Blast,80,0.5,0.001,,9841,0.6
Blast,80,0.4,0.001,,8683,0.7
Blast,80,0.3,0.001,,641,0.8
Blast,80,0.2,0.001,,2,0.9
Blast,80,0.1,0.001,,0,1
Blast,60,1,0.001,,9998,0.1
Blast,60,0.9,0.001,,9972,0.2
Blast,60,0.8,0.001,,9953,0.3
Blast,60,0.7,0.001,,9927,0.4
Blast,60,0.6,0.001,,9844,0.5
Blast,60,0.5,0.001,,9322,0.6
Blast,60,0.4,0.001,,3591,0.7
Blast,60,0.3,0.001,,33,0.8
Blast,60,0.2,0.001,,0,0.9
Blast,60,0.1,0.001,,0,1
Blast,40,1,0.001,,9994,0.1
Blast,40,0.9,0.001,,9808,0.2
Blast,40,0.8,0.001,,9648,0.3
Blast,40,0.7,0.001,,9357,0.4
Blast,40,0.6,0.001,,8720,0.5
Blast,40,0.5,0.001,,1829,0.6
Blast,40,0.4,0.001,,16,0.7
Blast,40,0.3,0.001,,0,0.8
Blast,40,0.2,0.001,,0,0.9
Blast,40,0.1,0.001,,0,1
Blast,30,1,0.001,,9943,0.1
Blast,30,0.9,0.001,,9244,0.2
Blast,30,0.8,0.001,,9183,0.3
Blast,30,0.7,0.001,,7302,0.4
Blast,30,0.6,0.001,,736,0.5
Blast,30,0.5,0.001,,6,0.6
Blast,30,0.4,0.001,,0,0.7
Blast,30,0.3,0.001,,0,0.8
Blast,30,0.2,0.001,,0,0.9
Blast,30,0.1,0.001,,0,1
Blast,20,1,0.001,,8665,0.1
Blast,20,0.9,0.001,,2073,0.2
Blast,20,0.8,0.001,,22,0.3
Blast,20,0.7,0.001,,0,0.4
Blast,20,0.6,0.001,,0,0.5
Blast,20,0.5,0.001,,0,0.6
Blast,20,0.4,0.001,,0,0.7
Blast,20,0.3,0.001,,0,0.8
Blast,20,0.2,0.001,,0,0.9
Blast,20,0.1,0.001,,0,1
Diamond,80,1,0.00001,sensitive,9986,0.1
Diamond,80,0.9,0.00001,sensitive,9972,0.2
Diamond,80,0.8,0.00001,sensitive,9959,0.3
Diamond,80,0.7,0.00001,sensitive,9943,0.4
Diamond,80,0.6,0.00001,sensitive,9902,0.5
Diamond,80,0.5,0.00001,sensitive,9700,0.6
Diamond,80,0.4,0.00001,sensitive,5794,0.7
Diamond,80,0.3,0.00001,sensitive,51,0.8
Diamond,80,0.2,0.00001,sensitive,0,0.9
Diamond,80,0.1,0.00001,sensitive,0,1
MMseqs,80,1,0.00001,5.7,9998,0.1
MMseqs,80,0.9,0.00001,5.7,9997,0.2
MMseqs,80,0.8,0.00001,5.7,9997,0.3
MMseqs,80,0.7,0.00001,5.7,9993,0.4
MMseqs,80,0.6,0.00001,5.7,9983,0.5
MMseqs,80,0.5,0.00001,5.7,9753,0.6
MMseqs,80,0.4,0.00001,5.7,3874,0.7
MMseqs,80,0.3,0.00001,5.7,10,0.8
MMseqs,80,0.2,0.00001,5.7,0,0.9
MMseqs,80,0.1,0.00001,5.7,0,1
Diamond,60,1,0.00001,sensitive,9977,0.1
Diamond,60,0.9,0.00001,sensitive,9960,0.2
Diamond,60,0.8,0.00001,sensitive,9935,0.3
Diamond,60,0.7,0.00001,sensitive,9884,0.4
Diamond,60,0.6,0.00001,sensitive,9813,0.5
Diamond,60,0.5,0.00001,sensitive,8378,0.6
Diamond,60,0.4,0.00001,sensitive,742,0.7
Diamond,60,0.3,0.00001,sensitive,0,0.8
Diamond,60,0.2,0.00001,sensitive,0,0.9
Diamond,60,0.1,0.00001,sensitive,0,1
MMseqs,60,1,0.00001,5.7,9996,0.1
MMseqs,60,0.9,0.00001,5.7,9995,0.2
MMseqs,60,0.8,0.00001,5.7,9993,0.3
MMseqs,60,0.7,0.00001,5.7,9985,0.4
MMseqs,60,0.6,0.00001,5.7,9922,0.5
MMseqs,60,0.5,0.00001,5.7,6837,0.6
MMseqs,60,0.4,0.00001,5.7,180,0.7
MMseqs,60,0.3,0.00001,5.7,0,0.8
MMseqs,60,0.2,0.00001,5.7,0,0.9
MMseqs,60,0.1,0.00001,5.7,0,1
Diamond,40,1,0.00001,sensitive,9950,0.1
Diamond,40,0.9,0.00001,sensitive,9617,0.2
Diamond,40,0.8,0.00001,sensitive,9612,0.3
Diamond,40,0.7,0.00001,sensitive,9529,0.4
Diamond,40,0.6,0.00001,sensitive,5448,0.5
Diamond,40,0.5,0.00001,sensitive,199,0.6
Diamond,40,0.4,0.00001,sensitive,0,0.7
Diamond,40,0.3,0.00001,sensitive,0,0.8
Diamond,40,0.2,0.00001,sensitive,0,0.9
Diamond,40,0.1,0.00001,sensitive,0,1
MMseqs,40,1,0.00001,5.7,9985,0.1
MMseqs,40,0.9,0.00001,5.7,9982,0.2
MMseqs,40,0.8,0.00001,5.7,9957,0.3
MMseqs,40,0.7,0.00001,5.7,9319,0.4
MMseqs,40,0.6,0.00001,5.7,2669,0.5
MMseqs,40,0.5,0.00001,5.7,27,0.6
MMseqs,40,0.4,0.00001,5.7,0,0.7
MMseqs,40,0.3,0.00001,5.7,0,0.8
MMseqs,40,0.2,0.00001,5.7,0,0.9
MMseqs,40,0.1,0.00001,5.7,0,1
Diamond,30,1,0.00001,sensitive,9790,0.1
Diamond,30,0.9,0.00001,sensitive,9363,0.2
Diamond,30,0.8,0.00001,sensitive,8122,0.3
Diamond,30,0.7,0.00001,sensitive,2291,0.4
Diamond,30,0.6,0.00001,sensitive,48,0.5
Diamond,30,0.5,0.00001,sensitive,1,0.6
Diamond,30,0.4,0.00001,sensitive,0,0.7
Diamond,30,0.3,0.00001,sensitive,0,0.8
Diamond,30,0.2,0.00001,sensitive,0,0.9
Diamond,30,0.1,0.00001,sensitive,0,1
MMseqs,30,1,0.00001,5.7,9838,0.1
MMseqs,30,0.9,0.00001,5.7,9475,0.2
MMseqs,30,0.8,0.00001,5.7,6068,0.3
MMseqs,30,0.7,0.00001,5.7,582,0.4
MMseqs,30,0.6,0.00001,5.7,2,0.5
MMseqs,30,0.5,0.00001,5.7,0,0.6
MMseqs,30,0.4,0.00001,5.7,0,0.7
MMseqs,30,0.3,0.00001,5.7,0,0.8
MMseqs,30,0.2,0.00001,5.7,0,0.9
MMseqs,30,0.1,0.00001,5.7,0,1
Diamond,20,1,0.00001,sensitive,3748,0.1
Diamond,20,0.9,0.00001,sensitive,336,0.2
Diamond,20,0.8,0.00001,sensitive,8,0.3
Diamond,20,0.7,0.00001,sensitive,0,0.4
Diamond,20,0.6,0.00001,sensitive,0,0.5
Diamond,20,0.5,0.00001,sensitive,0,0.6
Diamond,20,0.4,0.00001,sensitive,0,0.7
Diamond,20,0.3,0.00001,sensitive,0,0.8
Diamond,20,0.2,0.00001,sensitive,0,0.9
Diamond,20,0.1,0.00001,sensitive,0,1
MMseqs,20,1,0.00001,5.7,867,0.1
MMseqs,20,0.9,0.00001,5.7,18,0.2
MMseqs,20,0.8,0.00001,5.7,0,0.3
MMseqs,20,0.7,0.00001,5.7,0,0.4
MMseqs,20,0.6,0.00001,5.7,0,0.5
MMseqs,20,0.5,0.00001,5.7,0,0.6
MMseqs,20,0.4,0.00001,5.7,0,0.7
MMseqs,20,0.3,0.00001,5.7,0,0.8
MMseqs,20,0.2,0.00001,5.7,0,0.9
MMseqs,20,0.1,0.00001,5.7,0,1
Blast,80,1,0.00001,,9998,0.1
Blast,80,0.9,0.00001,,9977,0.2
Blast,80,0.8,0.00001,,9963,0.3
Blast,80,0.7,0.00001,,9952,0.4
Blast,80,0.6,0.00001,,9917,0.5
Blast,80,0.5,0.00001,,9708,0.6
Blast,80,0.4,0.00001,,6923,0.7
Blast,80,0.3,0.00001,,136,0.8
Blast,80,0.2,0.00001,,0,0.9
Blast,80,0.1,0.00001,,0,1
Blast,60,1,0.00001,,9998,0.1
Blast,60,0.9,0.00001,,9960,0.2
Blast,60,0.8,0.00001,,9938,0.3
Blast,60,0.7,0.00001,,9894,0.4
Blast,60,0.6,0.00001,,9668,0.5
Blast,60,0.5,0.00001,,8584,0.6
Blast,60,0.4,0.00001,,993,0.7
Blast,60,0.3,0.00001,,2,0.8
Blast,60,0.2,0.00001,,0,0.9
Blast,60,0.1,0.00001,,0,1
Blast,40,1,0.00001,,9994,0.1
Blast,40,0.9,0.00001,,9691,0.2
Blast,40,0.8,0.00001,,9391,0.3
Blast,40,0.7,0.00001,,9139,0.4
Blast,40,0.6,0.00001,,5482,0.5
Blast,40,0.5,0.00001,,152,0.6
Blast,40,0.4,0.00001,,0,0.7
Blast,40,0.3,0.00001,,0,0.8
Blast,40,0.2,0.00001,,0,0.9
Blast,40,0.1,0.00001,,0,1
Blast,30,1,0.00001,,9934,0.1
Blast,30,0.9,0.00001,,9191,0.2
Blast,30,0.8,0.00001,,8467,0.3
Blast,30,0.7,0.00001,,1581,0.4
Blast,30,0.6,0.00001,,11,0.5
Blast,30,0.5,0.00001,,0,0.6
Blast,30,0.4,0.00001,,0,0.7
Blast,30,0.3,0.00001,,0,0.8
Blast,30,0.2,0.00001,,0,0.9
Blast,30,0.1,0.00001,,0,1
Blast,20,1,0.00001,,894,0.1
Blast,20,0.9,0.00001,,1,0.2
Blast,20,0.8,0.00001,,0,0.3
Blast,20,0.7,0.00001,,0,0.4
Blast,20,0.6,0.00001,,0,0.5
Blast,20,0.5,0.00001,,0,0.6
Blast,20,0.4,0.00001,,0,0.7
Blast,20,0.3,0.00001,,0,0.8
Blast,20,0.2,0.00001,,0,0.9
Blast,20,0.1,0.00001,,0,1
Diamond,80,1,0.0001,sensitive,9988,0.1
Diamond,80,0.9,0.0001,sensitive,9976,0.2
Diamond,80,0.8,0.0001,sensitive,9962,0.3
Diamond,80,0.7,0.0001,sensitive,9948,0.4
Diamond,80,0.6,0.0001,sensitive,9911,0.5
Diamond,80,0.5,0.0001,sensitive,9733,0.6
Diamond,80,0.4,0.0001,sensitive,6749,0.7
Diamond,80,0.3,0.0001,sensitive,145,0.8
Diamond,80,0.2,0.0001,sensitive,0,0.9
Diamond,80,0.1,0.0001,sensitive,0,1
MMseqs,80,1,0.0001,5.7,9998,0.1
MMseqs,80,0.9,0.0001,5.7,9997,0.2
MMseqs,80,0.8,0.0001,5.7,9997,0.3
MMseqs,80,0.7,0.0001,5.7,9993,0.4
MMseqs,80,0.6,0.0001,5.7,9983,0.5
MMseqs,80,0.5,0.0001,5.7,9772,0.6
MMseqs,80,0.4,0.0001,5.7,5444,0.7
MMseqs,80,0.3,0.0001,5.7,37,0.8
MMseqs,80,0.2,0.0001,5.7,0,0.9
MMseqs,80,0.1,0.0001,5.7,0,1
Diamond,60,1,0.0001,sensitive,9982,0.1
Diamond,60,0.9,0.0001,sensitive,9963,0.2
Diamond,60,0.8,0.0001,sensitive,9944,0.3
Diamond,60,0.7,0.0001,sensitive,9906,0.4
Diamond,60,0.6,0.0001,sensitive,9835,0.5
Diamond,60,0.5,0.0001,sensitive,8996,0.6
Diamond,60,0.4,0.0001,sensitive,1560,0.7
Diamond,60,0.3,0.0001,sensitive,3,0.8
Diamond,60,0.2,0.0001,sensitive,0,0.9
Diamond,60,0.1,0.0001,sensitive,0,1
MMseqs,60,1,0.0001,5.7,9996,0.1
MMseqs,60,0.9,0.0001,5.7,9995,0.2
MMseqs,60,0.8,0.0001,5.7,9993,0.3
MMseqs,60,0.7,0.0001,5.7,9986,0.4
MMseqs,60,0.6,0.0001,5.7,9929,0.5
MMseqs,60,0.5,0.0001,5.7,8233,0.6
MMseqs,60,0.4,0.0001,5.7,564,0.7
MMseqs,60,0.3,0.0001,5.7,0,0.8
MMseqs,60,0.2,0.0001,5.7,0,0.9
MMseqs,60,0.1,0.0001,5.7,0,1
Diamond,40,1,0.0001,sensitive,9957,0.1
Diamond,40,0.9,0.0001,sensitive,9629,0.2
Diamond,40,0.8,0.0001,sensitive,9629,0.3
Diamond,40,0.7,0.0001,sensitive,9629,0.4
Diamond,40,0.6,0.0001,sensitive,7380,0.5
Diamond,40,0.5,0.0001,sensitive,648,0.6
Diamond,40,0.4,0.0001,sensitive,3,0.7
Diamond,40,0.3,0.0001,sensitive,0,0.8
Diamond,40,0.2,0.0001,sensitive,0,0.9
Diamond,40,0.1,0.0001,sensitive,0,1
MMseqs,40,1,0.0001,5.7,9985,0.1
MMseqs,40,0.9,0.0001,5.7,9982,0.2
MMseqs,40,0.8,0.0001,5.7,9967,0.3
MMseqs,40,0.7,0.0001,5.7,9783,0.4
MMseqs,40,0.6,0.0001,5.7,5171,0.5
MMseqs,40,0.5,0.0001,5.7,154,0.6
MMseqs,40,0.4,0.0001,5.7,1,0.7
MMseqs,40,0.3,0.0001,5.7,0,0.8
MMseqs,40,0.2,0.0001,5.7,0,0.9
MMseqs,40,0.1,0.0001,5.7,0,1
Diamond,30,1,0.0001,sensitive,9814,0.1
Diamond,30,0.9,0.0001,sensitive,9450,0.2
Diamond,30,0.8,0.0001,sensitive,9057,0.3
Diamond,30,0.7,0.0001,sensitive,4878,0.4
Diamond,30,0.6,0.0001,sensitive,354,0.5
Diamond,30,0.5,0.0001,sensitive,3,0.6
Diamond,30,0.4,0.0001,sensitive,0,0.7
Diamond,30,0.3,0.0001,sensitive,0,0.8
Diamond,30,0.2,0.0001,sensitive,0,0.9
Diamond,30,0.1,0.0001,sensitive,0,1
